"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверяем, что кнопка перехода к докладам отображается.","20716","Кнопка 'Все доклады' видима в hero","tests.home","Fri Mar 06 12:51:53 UTC 2026","broken","Fri Mar 06 12:52:14 UTC 2026","TestHomeScreen","test_home","",""
"Проверяем видимость роли (Automation QA Engineer) в hero.","20090","Роль QA отображается в hero-карточке","tests.home","Fri Mar 06 12:51:29 UTC 2026","broken","Fri Mar 06 12:51:49 UTC 2026","TestHomeScreen","test_home","",""
"Проверяем, что экран контактов отображается.","20077","Экран контактов загружается","tests.contacts","Fri Mar 06 12:49:29 UTC 2026","broken","Fri Mar 06 12:49:49 UTC 2026","TestContactsScreen","test_contacts","",""
"
        Проверяем, что при нажатии на кнопку Telegram
        открывается CAPTCHA-диалог с математической задачей.

        CAPTCHA защищает контакты от спам-ботов.
        ","20579","CAPTCHA открывается при нажатии на Telegram","tests.contacts","Fri Mar 06 12:50:17 UTC 2026","broken","Fri Mar 06 12:50:38 UTC 2026","TestContactsScreen","test_contacts","",""
"
        Проверяем видимость секций ""Обо мне"" и ""Стек"".

        Секции расположены ниже viewport'а — используем scroll_to
        для нативного скролла к элементу через UiScrollable.
        ","43211","Секции главной страницы видимы после скролла","tests.home","Fri Mar 06 12:52:17 UTC 2026","broken","Fri Mar 06 12:53:00 UTC 2026","TestHomeScreen","test_home","",""
"
        Проверяем переход к деталям доклада.

        1. Переходим на экран докладов
        2. Тапаем на карточку доклада
        3. Проверяем, что открылся экран деталей с заголовком
        ","20492","Открытие деталей доклада из списка","tests.talks","Fri Mar 06 12:55:28 UTC 2026","broken","Fri Mar 06 12:55:49 UTC 2026","TestTalksList","test_talks_list","",""
"
        Проверяем, что все 4 кнопки контактов отображаются:
        Telegram, LinkedIn, GitHub, Email.
        ","20168","Кнопки контактов видимы","tests.contacts","Fri Mar 06 12:49:54 UTC 2026","broken","Fri Mar 06 12:50:14 UTC 2026","TestContactsScreen","test_contacts","",""
"
        Проверяем кнопку ""Назад"" на экране деталей доклада.

        1. Открываем детали доклада
        2. Нажимаем ""Назад""
        3. Проверяем, что вернулись к списку докладов
        ","20485","Возврат из деталей доклада в список","tests.talks","Fri Mar 06 12:55:53 UTC 2026","broken","Fri Mar 06 12:56:13 UTC 2026","TestTalksList","test_talks_list","",""
"Проверяем, что слоган отображается в hero-карточке.","20511","Слоган отображается на главной","tests.home","Fri Mar 06 12:51:05 UTC 2026","broken","Fri Mar 06 12:51:26 UTC 2026","TestHomeScreen","test_home","",""
"Проверяем, что поле поиска отображается на экране докладов.","20553","Поле поиска докладов видимо","tests.talks","Fri Mar 06 12:54:40 UTC 2026","broken","Fri Mar 06 12:55:01 UTC 2026","TestTalksList","test_talks_list","",""
"
        Проверяем, что список докладов загружается и отображает карточки.

        1. Переходим на экран докладов через bottom nav
        2. Проверяем видимость заголовка и списка
        ","20839","Список докладов отображается","tests.talks","Fri Mar 06 12:54:16 UTC 2026","broken","Fri Mar 06 12:54:37 UTC 2026","TestTalksList","test_talks_list","",""
"
        Проверяем переход с главной на экран докладов.

        1. Убеждаемся, что мы на главной (screen_home видим)
        2. Тапаем на таб ""Доклады"" в bottom navigation
        3. Проверяем, что экран докладов загрузился (screen_talks_list видим)
        ","20333","Навигация: Главная → Доклады","tests.navigation","Fri Mar 06 12:53:04 UTC 2026","broken","Fri Mar 06 12:53:24 UTC 2026","TestBottomNavigation","test_navigation","",""
"
        Проверяем, что поиск фильтрует список докладов.

        1. Переходим на экран докладов
        2. Вводим ""Python"" в поле поиска
        3. Проверяем, что карточка доклада про Python видна
        ","20312","Поиск доклада по названию","tests.talks","Fri Mar 06 12:55:05 UTC 2026","broken","Fri Mar 06 12:55:25 UTC 2026","TestTalksList","test_talks_list","",""
"
        Проверяем, что можно вернуться на главную после перехода на доклады.

        1. Переходим на Доклады
        2. Возвращаемся на Главную
        3. Проверяем, что главный экран снова видим
        ","20731","Навигация: Доклады → Главная (возврат)","tests.navigation","Fri Mar 06 12:53:52 UTC 2026","broken","Fri Mar 06 12:54:12 UTC 2026","TestBottomNavigation","test_navigation","",""
"Проверяем, что главный экран отображается после запуска приложения.","20113","Главный экран загружается","tests.home","Fri Mar 06 12:50:41 UTC 2026","broken","Fri Mar 06 12:51:02 UTC 2026","TestHomeScreen","test_home","",""
"Проверяем переход с главной на экран контактов.","20253","Навигация: Главная → Контакты","tests.navigation","Fri Mar 06 12:53:28 UTC 2026","broken","Fri Mar 06 12:53:48 UTC 2026","TestBottomNavigation","test_navigation","",""
