"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверяем, что поле поиска отображается на экране докладов.","2565","Поле поиска докладов видимо","tests.talks","Thu Mar 12 07:22:32 UTC 2026","passed","Thu Mar 12 07:22:34 UTC 2026","TestTalksList","test_talks_list","",""
"
        Проверяем, что поиск фильтрует список докладов.

        1. Переходим на экран докладов
        2. Вводим ""Python"" в поле поиска
        3. Проверяем, что карточка доклада про Python видна
        ","2841","Поиск доклада по названию","tests.talks","Thu Mar 12 07:22:37 UTC 2026","passed","Thu Mar 12 07:22:40 UTC 2026","TestTalksList","test_talks_list","",""
"
        Проверяем кнопку ""Назад"" на экране деталей доклада.

        1. Открываем детали доклада
        2. Нажимаем ""Назад""
        3. Проверяем, что вернулись к списку докладов
        ","4119","Возврат из деталей доклада в список","tests.talks","Thu Mar 12 07:22:50 UTC 2026","passed","Thu Mar 12 07:22:54 UTC 2026","TestTalksList","test_talks_list","",""
"Проверяем, что главный экран отображается после запуска приложения.","1596","Главный экран загружается","tests.home","Thu Mar 12 07:21:30 UTC 2026","passed","Thu Mar 12 07:21:31 UTC 2026","TestHomeScreen","test_home","",""
"Проверяем, что экран контактов отображается.","2552","Экран контактов загружается","tests.contacts","Thu Mar 12 07:21:10 UTC 2026","passed","Thu Mar 12 07:21:13 UTC 2026","TestContactsScreen","test_contacts","",""
"
        Проверяем видимость секций ""Обо мне"" и ""Стек"".

        Секции расположены ниже viewport'а — используем scroll_to
        для нативного скролла к элементу через UiScrollable.
        ","12509","Секции главной страницы видимы после скролла","tests.home","Thu Mar 12 07:21:51 UTC 2026","passed","Thu Mar 12 07:22:04 UTC 2026","TestHomeScreen","test_home","",""
"
        Проверяем, что при нажатии на кнопку Telegram
        открывается CAPTCHA-диалог с математической задачей.

        CAPTCHA защищает контакты от спам-ботов.
        ","4026","CAPTCHA открывается при нажатии на Telegram","tests.contacts","Thu Mar 12 07:21:22 UTC 2026","passed","Thu Mar 12 07:21:27 UTC 2026","TestContactsScreen","test_contacts","",""
"Проверяем видимость роли (Automation QA Engineer) в hero.","1595","Роль QA отображается в hero-карточке","tests.home","Thu Mar 12 07:21:39 UTC 2026","passed","Thu Mar 12 07:21:41 UTC 2026","TestHomeScreen","test_home","",""
"
        Проверяем, что можно вернуться на главную после перехода на доклады.

        1. Переходим на Доклады
        2. Возвращаемся на Главную
        3. Проверяем, что главный экран снова видим
        ","3478","Навигация: Доклады → Главная (возврат)","tests.navigation","Thu Mar 12 07:22:19 UTC 2026","passed","Thu Mar 12 07:22:22 UTC 2026","TestBottomNavigation","test_navigation","",""
"Проверяем переход с главной на экран контактов.","2804","Навигация: Главная → Контакты","tests.navigation","Thu Mar 12 07:22:13 UTC 2026","passed","Thu Mar 12 07:22:16 UTC 2026","TestBottomNavigation","test_navigation","",""
"
        Проверяем, что все 4 кнопки контактов отображаются:
        Telegram, LinkedIn, GitHub, Email.
        ","2593","Кнопки контактов видимы","tests.contacts","Thu Mar 12 07:21:17 UTC 2026","passed","Thu Mar 12 07:21:19 UTC 2026","TestContactsScreen","test_contacts","",""
"
        Проверяем, что список докладов загружается и отображает карточки.

        1. Переходим на экран докладов через bottom nav
        2. Проверяем видимость заголовка и списка
        ","2818","Список докладов отображается","tests.talks","Thu Mar 12 07:22:26 UTC 2026","passed","Thu Mar 12 07:22:29 UTC 2026","TestTalksList","test_talks_list","",""
"Проверяем, что слоган отображается в hero-карточке.","1613","Слоган отображается на главной","tests.home","Thu Mar 12 07:21:35 UTC 2026","passed","Thu Mar 12 07:21:36 UTC 2026","TestHomeScreen","test_home","",""
"
        Проверяем переход к деталям доклада.

        1. Переходим на экран докладов
        2. Тапаем на карточку доклада
        3. Проверяем, что открылся экран деталей с заголовком
        ","3608","Открытие деталей доклада из списка","tests.talks","Thu Mar 12 07:22:43 UTC 2026","passed","Thu Mar 12 07:22:47 UTC 2026","TestTalksList","test_talks_list","",""
"Проверяем, что кнопка перехода к докладам отображается.","3976","Кнопка 'Все доклады' видима в hero","tests.home","Thu Mar 12 07:21:44 UTC 2026","passed","Thu Mar 12 07:21:48 UTC 2026","TestHomeScreen","test_home","",""
"
        Проверяем переход с главной на экран докладов.

        1. Убеждаемся, что мы на главной (screen_home видим)
        2. Тапаем на таб ""Доклады"" в bottom navigation
        3. Проверяем, что экран докладов загрузился (screen_talks_list видим)
        ","2834","Навигация: Главная → Доклады","tests.navigation","Thu Mar 12 07:22:07 UTC 2026","passed","Thu Mar 12 07:22:10 UTC 2026","TestBottomNavigation","test_navigation","",""
