"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
        Проверяем, что поиск фильтрует список докладов.

        1. Переходим на экран докладов
        2. Вводим ""Python"" в поле поиска
        3. Проверяем, что карточка доклада про Python видна
        ","20132","Поиск доклада по названию","tests.talks","Sun Mar 08 17:49:46 UTC 2026","broken","Sun Mar 08 17:50:06 UTC 2026","TestTalksList","test_talks_list","",""
"
        Проверяем переход к деталям доклада.

        1. Переходим на экран докладов
        2. Тапаем на карточку доклада
        3. Проверяем, что открылся экран деталей с заголовком
        ","20014","Открытие деталей доклада из списка","tests.talks","Sun Mar 08 17:50:08 UTC 2026","broken","Sun Mar 08 17:50:29 UTC 2026","TestTalksList","test_talks_list","",""
"
        Проверяем, что можно вернуться на главную после перехода на доклады.

        1. Переходим на Доклады
        2. Возвращаемся на Главную
        3. Проверяем, что главный экран снова видим
        ","20511","Навигация: Доклады → Главная (возврат)","tests.navigation","Sun Mar 08 17:48:39 UTC 2026","broken","Sun Mar 08 17:48:59 UTC 2026","TestBottomNavigation","test_navigation","",""
"Проверяем, что главный экран отображается после запуска приложения.","20435","Главный экран загружается","tests.home","Sun Mar 08 17:45:26 UTC 2026","broken","Sun Mar 08 17:45:47 UTC 2026","TestHomeScreen","test_home","",""
"Проверяем, что поле поиска отображается на экране докладов.","20361","Поле поиска докладов видимо","tests.talks","Sun Mar 08 17:49:24 UTC 2026","broken","Sun Mar 08 17:49:44 UTC 2026","TestTalksList","test_talks_list","",""
"
        Проверяем, что при нажатии на кнопку Telegram
        открывается CAPTCHA-диалог с математической задачей.

        CAPTCHA защищает контакты от спам-ботов.
        ","1777","CAPTCHA открывается при нажатии на Telegram","tests.contacts","Sun Mar 08 17:45:22 UTC 2026","passed","Sun Mar 08 17:45:24 UTC 2026","TestContactsScreen","test_contacts","",""
"Проверяем, что экран контактов отображается.","2592","Экран контактов загружается","tests.contacts","Sun Mar 08 17:45:15 UTC 2026","passed","Sun Mar 08 17:45:17 UTC 2026","TestContactsScreen","test_contacts","",""
"
        Проверяем переход с главной на экран докладов.

        1. Убеждаемся, что мы на главной (screen_home видим)
        2. Тапаем на таб ""Доклады"" в bottom navigation
        3. Проверяем, что экран докладов загрузился (screen_talks_list видим)
        ","20109","Навигация: Главная → Доклады","tests.navigation","Sun Mar 08 17:47:54 UTC 2026","broken","Sun Mar 08 17:48:14 UTC 2026","TestBottomNavigation","test_navigation","",""
"Проверяем, что кнопка перехода к докладам отображается.","20265","Кнопка 'Все доклады' видима в hero","tests.home","Sun Mar 08 17:46:34 UTC 2026","broken","Sun Mar 08 17:46:54 UTC 2026","TestHomeScreen","test_home","",""
"Проверяем, что слоган отображается в hero-карточке.","20350","Слоган отображается на главной","tests.home","Sun Mar 08 17:45:49 UTC 2026","broken","Sun Mar 08 17:46:09 UTC 2026","TestHomeScreen","test_home","",""
"Проверяем переход с главной на экран контактов.","20320","Навигация: Главная → Контакты","tests.navigation","Sun Mar 08 17:48:17 UTC 2026","broken","Sun Mar 08 17:48:37 UTC 2026","TestBottomNavigation","test_navigation","",""
"
        Проверяем, что все 4 кнопки контактов отображаются:
        Telegram, LinkedIn, GitHub, Email.
        ","431","Кнопки контактов видимы","tests.contacts","Sun Mar 08 17:45:20 UTC 2026","passed","Sun Mar 08 17:45:20 UTC 2026","TestContactsScreen","test_contacts","",""
"
        Проверяем видимость секций ""Обо мне"" и ""Стек"".

        Секции расположены ниже viewport'а — используем scroll_to
        для нативного скролла к элементу через UiScrollable.
        ","56323","Секции главной страницы видимы после скролла","tests.home","Sun Mar 08 17:46:56 UTC 2026","broken","Sun Mar 08 17:47:52 UTC 2026","TestHomeScreen","test_home","",""
"
        Проверяем, что список докладов загружается и отображает карточки.

        1. Переходим на экран докладов через bottom nav
        2. Проверяем видимость заголовка и списка
        ","20250","Список докладов отображается","tests.talks","Sun Mar 08 17:49:02 UTC 2026","broken","Sun Mar 08 17:49:22 UTC 2026","TestTalksList","test_talks_list","",""
"Проверяем видимость роли (Automation QA Engineer) в hero.","20356","Роль QA отображается в hero-карточке","tests.home","Sun Mar 08 17:46:11 UTC 2026","broken","Sun Mar 08 17:46:32 UTC 2026","TestHomeScreen","test_home","",""
"
        Проверяем кнопку ""Назад"" на экране деталей доклада.

        1. Открываем детали доклада
        2. Нажимаем ""Назад""
        3. Проверяем, что вернулись к списку докладов
        ","20321","Возврат из деталей доклада в список","tests.talks","Sun Mar 08 17:50:31 UTC 2026","broken","Sun Mar 08 17:50:51 UTC 2026","TestTalksList","test_talks_list","",""
